city,date_time,temperature,humidity,pressure,wind_speed,rainfall,weather_code,latitude,longitude
Ghotki,2024-10-22 00:00:00,25.8,50,1002.7,9.4,0.0,0,28.0064,69.3161
Shakargarh,2025-02-19 06:00:00,9.3,83,981.9,4.3,0.0,3,32.2646,75.1608
Jhang,2025-08-18 11:00:00,33.2,65,986.5,8.8,0.0,3,31.2781,72.3118
Badin,2025-11-26 09:00:00,19.3,42,1015.7,9.4,0.0,0,24.655,68.838
Khuzdar,2025-06-19 18:00:00,40.9,4,872.1,20.2,0.0,0,27.8,66.6167
Mandi Bahauddin,2024-09-25 03:00:00,28.2,72,977.2,4.7,0.0,0,32.5861,73.4917
Mansehra,2024-03-02 02:00:00,7.8,88,889.1,5.8,1.4,61,34.33,73.2
Karak,2024-06-19 11:00:00,40.0,11,935.5,7.7,0.0,0,33.1167,71.0833
Mirpur Khas,2024-01-29 22:00:00,20.1,61,1015.1,7.6,0.0,3,25.5251,69.0159
Kotli,2024-10-18 11:00:00,28.5,34,945.0,4.3,0.0,0,33.5184,73.9022
Bahawalpur,2025-12-18 22:00:00,14.3,67,1004.4,0.0,0.0,3,29.3956,71.6836
Jacobabad,2025-08-17 04:00:00,31.9,58,991.7,4.3,0.0,3,28.2819,68.4388
Multan,2025-08-29 15:00:00,37.2,46,984.8,11.7,0.0,1,30.1575,71.5249
Faisalabad,2024-07-11 06:00:00,26.6,88,979.9,4.3,9.7,65,31.4504,73.135
Hunza,2024-06-11 17:00:00,19.3,46,786.2,1.8,0.1,51,36.3167,74.65
Bhakkar,2024-03-25 14:00:00,31.3,40,992.6,4.5,0.0,0,31.6252,71.0657
Nankana Sahib,2024-02-27 13:00:00,21.2,41,997.0,8.0,0.0,3,31.45,73.7
Chiniot,2025-08-22 03:00:00,27.6,89,978.6,3.8,0.0,0,31.72,72.9789
Loralai,2024-03-14 22:00:00,9.1,55,859.0,7.6,0.0,0,30.3705,68.5979
Bhakkar,2024-06-18 20:00:00,38.3,28,974.6,6.1,0.0,0,31.6252,71.0657
Khaplu,2025-01-09 04:00:00,-19.9,36,643.9,8.3,0.0,0,35.1333,76.3333
Lodhran,2025-01-23 13:00:00,20.8,51,1004.0,7.9,0.0,0,29.5405,71.6336
Jalalpur Jattan,2024-07-20 12:00:00,35.7,57,970.8,5.2,0.0,1,32.6419,74.205
Islamabad,2024-04-14 02:00:00,17.2,79,954.1,6.6,0.0,3,33.6844,73.0479
Gupis,2025-10-29 13:00:00,1.2,41,635.5,3.6,0.0,3,36.1667,73.4333
Hyderabad,2025-03-17 03:00:00,19.1,52,1009.0,3.8,0.0,0,25.396,68.3578
Swabi,2024-05-25 19:00:00,29.7,47,961.4,9.4,0.0,0,34.1202,72.4698
Burewala,2024-11-30 11:00:00,22.6,51,1001.3,0.6,0.0,0,30.1667,72.65
Sukkur,2025-09-06 03:00:00,30.2,67,995.1,10.4,0.0,0,27.7052,68.8574
Thatta,2024-11-13 08:00:00,22.5,98,1011.8,3.8,0.0,3,24.7475,67.9235
Kandhkot,2025-12-24 16:00:00,24.6,24,1006.9,6.8,0.0,2,28.245,69.18
Toba Tek Singh,2025-06-23 22:00:00,35.7,51,975.4,8.5,0.0,0,30.9697,72.4827
Skardu,2024-03-19 02:00:00,2.2,37,783.7,3.6,0.0,3,35.2971,75.6333
Multan,2024-07-12 20:00:00,28.7,81,980.6,5.8,0.1,51,30.1575,71.5249
Chaman,2024-12-14 20:00:00,10.6,24,867.0,4.2,0.0,3,30.9177,66.4597
Kotli,2025-07-20 17:00:00,30.2,72,930.8,4.0,0.5,53,33.5184,73.9022
Charsadda,2024-01-24 09:00:00,6.3,98,985.2,1.4,0.0,3,34.1482,71.7406
Rawalpindi,2024-02-18 13:00:00,14.9,72,953.4,17.5,0.1,51,33.5651,73.0169
Vehari,2025-05-18 06:00:00,30.4,40,984.7,10.9,0.0,0,30.0419,72.3528
Tando Allahyar,2024-07-15 08:00:00,31.8,72,995.6,13.7,0.0,0,25.4605,68.717
Dadu,2024-05-10 14:00:00,43.6,11,997.6,20.4,0.0,0,26.7319,67.775
Jhang,2024-04-20 07:00:00,19.4,79,989.1,8.7,0.0,0,31.2781,72.3118
Gwadar,2024-08-14 05:00:00,27.8,82,1003.0,7.1,0.0,3,25.1264,62.3225
Pasni,2024-02-01 16:00:00,25.1,34,1013.5,12.8,0.0,3,25.2631,63.471
Toba Tek Singh,2025-07-28 04:00:00,29.1,88,976.7,5.8,0.0,0,30.9697,72.4827
Kasur,2024-04-10 22:00:00,24.7,33,986.5,14.3,0.0,1,31.115,74.4467
Sargodha,2024-12-21 18:00:00,13.7,55,992.7,5.0,0.0,3,32.0836,72.6711
Hunza,2025-01-03 07:00:00,0.8,78,778.8,5.4,0.5,73,36.3167,74.65
Murree,2025-07-06 15:00:00,21.5,82,786.0,5.1,0.3,51,33.9073,73.3903
Kahuta,2025-12-25 10:00:00,15.1,43,946.2,2.4,0.0,0,33.5917,73.3875
Chiniot,2024-10-16 15:00:00,33.7,31,984.1,8.0,0.0,0,31.72,72.9789
Nushki,2025-06-11 23:00:00,30.9,15,900.2,12.9,0.0,0,29.5522,66.0225
Ormara,2024-10-28 05:00:00,27.5,70,1005.9,15.4,0.0,0,25.2088,64.6357
Jhelum,2025-05-28 04:00:00,27.9,55,972.2,8.7,0.0,2,32.9425,73.7257
Tank,2025-03-08 04:00:00,11.0,43,978.9,9.8,0.0,0,32.2167,70.3833
