model,MAE,MSE,RMSE,R2
Linear Regression,0.6373307074148836,0.8997200216951257,0.948535725049471,0.991812173967007
Decision Tree,0.5327815731658471,0.7462516692784114,0.8638585933348185,0.9932087997404234
Random Forest,0.486889418318552,0.5538287519220394,0.744196715876951,0.9949599282404945
